Rank,Location,Province,Numbers,BenfordError,PlotName
306,Ukraine,Donetsk Oblast,267,0.25443,ukraine_donetsk_oblast.png
307,Sweden,Vasterbotten,147,0.25500,sweden_vasterbotten.png
308,Sweden,Ostergotland,166,0.25681,sweden_ostergotland.png
309,Russia,Kurgan Oblast,275,0.25746,russia_kurgan_oblast.png
310,Germany,Hessen,279,0.25749,germany_hessen.png
311,India,Andaman and Nicobar Islands,225,0.25753,india_andaman_and_nicobar_islands.png
312,Ukraine,Dnipropetrovsk Oblast,264,0.25855,ukraine_dnipropetrovsk_oblast.png
313,Colombia,Norte de Santander,257,0.25964,colombia_norte_de_santander.png
314,Peru,Callao,218,0.26048,peru_callao.png
315,Spain,Aragon,210,0.26126,spain_aragon.png
316,India,Manipur,261,0.26189,india_manipur.png
317,Japan,Kanagawa,273,0.26240,japan_kanagawa.png
318,Sweden,Varmland,161,0.26332,sweden_varmland.png
319,Saint Vincent and the Grenadines,nan,93,0.26337,saint_vincent_and_the_grenadines.png
320,Slovakia,nan,351,0.26513,slovakia.png
321,Nicaragua,nan,58,0.26573,nicaragua.png
322,Senegal,nan,355,0.26602,senegal.png
323,Algeria,nan,362,0.26630,algeria.png
324,Italy,Friuli Venezia Giulia,272,0.26634,italy_friuli_venezia_giulia.png
325,Japan,Kagoshima,205,0.26774,japan_kagoshima.png
326,France,St Martin,57,0.26867,france_st_martin.png
327,Colombia,Cauca,267,0.26909,colombia_cauca.png
328,Colombia,Guainia,133,0.27012,colombia_guainia.png
329,Peru,Loreto,215,0.27103,peru_loreto.png
330,Peru,Piura,217,0.27118,peru_piura.png
331,Sweden,Gotland,135,0.27136,sweden_gotland.png
332,Japan,Aichi,250,0.27145,japan_aichi.png
333,Mexico,Queretaro,285,0.27209,mexico_queretaro.png
334,Chile,Nuble,283,0.27209,chile_nuble.png
335,Portugal,nan,361,0.27244,portugal.png
336,South Africa,nan,359,0.27255,south_africa.png
337,Colombia,Capital District,268,0.27370,colombia_capital_district.png
338,Japan,Nagasaki,153,0.27466,japan_nagasaki.png
339,Netherlands,Flevoland,221,0.27543,netherlands_flevoland.png
340,Colombia,Narino,265,0.27557,colombia_narino.png
341,Colombia,Quindio,251,0.27638,colombia_quindio.png
342,Colombia,Huila,258,0.27650,colombia_huila.png
343,Russia,Tyva Republic,275,0.27662,russia_tyva_republic.png
344,Brazil,Goias,276,0.27682,brazil_goias.png
345,North Macedonia,nan,356,0.27715,north_macedonia.png
346,Japan,Okayama,193,0.27774,japan_okayama.png
347,Russia,Samara Oblast,275,0.27831,russia_samara_oblast.png
348,South Sudan,nan,181,0.27906,south_sudan.png
349,France,Martinique,74,0.28036,france_martinique.png
350,Germany,Schleswig Holstein,262,0.28036,germany_schleswig_holstein.png
351,United Kingdom,Turks and Caicos Islands,161,0.28050,united_kingdom_turks_and_caicos_islands.png
352,India,Sikkim,238,0.28105,india_sikkim.png
353,Brazil,Amazonas,278,0.28238,brazil_amazonas.png
354,Burma,nan,287,0.28295,burma.png
355,West Bank and Gaza,nan,317,0.28370,west_bank_and_gaza.png
356,Cyprus,nan,332,0.28383,cyprus.png
357,Ecuador,nan,340,0.28411,ecuador.png
358,Germany,Bremen,269,0.28509,germany_bremen.png
359,Brazil,Rio de Janeiro,277,0.28602,brazil_rio_de_janeiro.png
360,Sweden,Sormland,153,0.28668,sweden_sormland.png
361,Japan,Toyama,151,0.28713,japan_toyama.png
362,Japan,Tokushima,117,0.28783,japan_tokushima.png
363,Congo Kinshasa,nan,326,0.28860,congo_kinshasa.png
364,Gabon,nan,173,0.28895,gabon.png
365,Peru,Ucayali,217,0.28896,peru_ucayali.png
366,Brazil,Roraima,277,0.28931,brazil_roraima.png
367,Germany,nan,84,0.28947,germany.png
368,India,Andhra Pradesh,260,0.29024,india_andhra_pradesh.png
369,Azerbaijan,nan,356,0.29026,azerbaijan.png
370,Russia,Arkhangelsk Oblast,275,0.29107,russia_arkhangelsk_oblast.png
371,Ukraine,Crimea Republic,273,0.29187,ukraine_crimea_republic.png
372,Brazil,Rio Grande do Sul,276,0.29213,brazil_rio_grande_do_sul.png
373,Russia,Ryazan Oblast,275,0.29291,russia_ryazan_oblast.png
374,Mexico,Quintana Roo,284,0.29566,mexico_quintana_roo.png
375,United Kingdom,Northern Ireland,238,0.29599,united_kingdom_northern_ireland.png
376,Liechtenstein,nan,190,0.29679,liechtenstein.png
377,India,Assam,259,0.29787,india_assam.png
378,Ukraine,Zakarpattia Oblast,275,0.29812,ukraine_zakarpattia_oblast.png
379,Italy,Abruzzo,273,0.29850,italy_abruzzo.png
380,Kazakhstan,nan,339,0.29937,kazakhstan.png
381,Taiwan,nan,212,0.30017,taiwan.png
382,Pakistan,Gilgit Baltistan,230,0.30022,pakistan_gilgit_baltistan.png
383,Spain,Melilla,151,0.30023,spain_melilla.png
384,Mexico,Mexico,286,0.30099,mexico_mexico.png
385,Netherlands,Unknown,179,0.30121,netherlands_unknown.png
386,Tunisia,nan,312,0.30216,tunisia.png
387,Brazil,Parana,276,0.30312,brazil_parana.png
388,Cabo Verde,nan,322,0.30349,cabo_verde.png
389,Ukraine,Chernivtsi Oblast,275,0.30387,ukraine_chernivtsi_oblast.png
390,Mauritius,nan,100,0.30411,mauritius.png
391,Costa Rica,nan,316,0.30440,costa_rica.png
392,Russia,Nenets Autonomous Okrug,206,0.30753,russia_nenets_autonomous_okrug.png
393,Mexico,Zacatecas,285,0.30862,mexico_zacatecas.png
394,Colombia,Magdalena,268,0.30882,colombia_magdalena.png
395,Ukraine,Kiev Oblast,275,0.30951,ukraine_kiev_oblast.png
396,Netherlands,Groningen,221,0.30985,netherlands_groningen.png
397,Japan,Port Quarantine,268,0.31080,japan_port_quarantine.png
398,Madagascar,nan,204,0.31105,madagascar.png
399,Russia,Novgorod Oblast,275,0.31121,russia_novgorod_oblast.png
400,Denmark,Faroe Islands,136,0.31122,denmark_faroe_islands.png
401,Brazil,Mato Grosso do Sul,280,0.31126,brazil_mato_grosso_do_sul.png
402,Italy,Marche,275,0.31131,italy_marche.png
403,Japan,Chiba,267,0.31285,japan_chiba.png
404,Mexico,Guanajuato,286,0.31299,mexico_guanajuato.png
405,Japan,Mie,216,0.31427,japan_mie.png
406,Brazil,Amapa,275,0.31430,brazil_amapa.png
407,Russia,Buryatia Republic,275,0.31684,russia_buryatia_republic.png
408,China,Jilin,74,0.31726,china_jilin.png
409,Italy,Valle dAosta,208,0.31962,italy_valle_daosta.png
410,Mongolia,nan,197,0.31964,mongolia.png
411,Sweden,Halland,164,0.31984,sweden_halland.png
412,China,Xinjiang,61,0.32050,china_xinjiang.png
413,Japan,Nagano,185,0.32143,japan_nagano.png
414,Ukraine,Lviv Oblast,275,0.32151,ukraine_lviv_oblast.png
415,Brazil,Alagoas,279,0.32174,brazil_alagoas.png
416,Yemen,nan,212,0.32418,yemen.png
417,Mexico,Oaxaca,285,0.32562,mexico_oaxaca.png
418,Japan,Nara,230,0.32653,japan_nara.png
419,Panama,nan,354,0.32712,panama.png
420,Germany,Hamburg,284,0.32744,germany_hamburg.png
421,Japan,Okinawa,229,0.32831,japan_okinawa.png
422,Russia,Sakha Yakutiya Republic,275,0.32836,russia_sakha_yakutiya_republic.png
423,Bangladesh,nan,351,0.32864,bangladesh.png
424,China,Gansu,51,0.32921,china_gansu.png
425,Sweden,Skane,166,0.33041,sweden_skane.png
426,Japan,Yamagata,90,0.33071,japan_yamagata.png
427,Italy,Campania,283,0.33116,italy_campania.png
428,India,Haryana,261,0.33220,india_haryana.png
429,Italy,Sicilia,278,0.33274,italy_sicilia.png
430,Russia,Vladimir Oblast,275,0.33303,russia_vladimir_oblast.png
431,Canada,New Brunswick,208,0.33434,canada_new_brunswick.png
432,Brazil,Para,280,0.33595,brazil_para.png
433,Mexico,Ciudad de Mexico,286,0.33632,mexico_ciudad_de_mexico.png
434,China,Heilongjiang,104,0.33633,china_heilongjiang.png
435,Netherlands,Gelderland,224,0.33817,netherlands_gelderland.png
436,Japan,Kagawa,140,0.33849,japan_kagawa.png
437,Japan,Ishikawa,197,0.34018,japan_ishikawa.png
438,Australia,Western Australia,189,0.34085,australia_western_australia.png
439,Sao Tome and Principe,nan,177,0.34346,sao_tome_and_principe.png
440,Bhutan,nan,168,0.34349,bhutan.png
441,Colombia,Meta,265,0.34387,colombia_meta.png
442,Mexico,nan,74,0.34388,mexico.png
443,Barbados,nan,194,0.34432,barbados.png
444,Germany,Saarland,257,0.34451,germany_saarland.png
